"Category","Sub Category","Organization Type","Name","Address","Address2","City","County","State","Zip Code","Lat","Long","Email","Website","Description","CPG Number","CPG Issued On","Electricity Type","Utility","Owner","Stream","Project Team","Installation Date","Funding Source","Funding Amount","Financed By","System Specs","Capacity kW","Annual Production (kWh)","Energy Production Link","Annual Electricity Saved (kWh)","Capacity (MMBTU)","Annual Production (MMBTU)","Annual MMBTU Saved"
"Solar","Roof-Mounted PV","Residential","936 Vermont Route 244","936 Vermont Route 244","","Fairlee","Orange County","Vermont","05045","43.886789","-72.188185","","","34383","17-5190","","Net Metered","Green Mountain Power","","","GoSolar NE","2018-02-06","","","","","7.28","","","","","",""
"Solar","Roof-Mounted PV","Residential","415 Quinibeck Road","415 Quinibeck Road","","Fairlee","Orange County","Vermont","05045","43.88903","-72.21031000000001","","","41826","19-0489","","Net Metered","Green Mountain Power","","","Solar Communities","2019-04-26","","","","","7.6","","","","","",""
"Solar","Roof-Mounted PV","Residential","246 Fairview St.","246 Fairview St.","","Fairlee","Orange County","Vermont","05045","43.908865","-72.161672","","","39161","18-3015","","Net Metered","Green Mountain Power","","","Energy Tesla","2019-01-11","","","","","7.6","","","","","",""
"Solar","Roof-Mounted PV","Residential","1098 Wild Hill Road","1098 Wild Hill Road","","Fairlee","Orange County","Vermont","05045","43.95859","-72.20486","","","30726","17-3138-NMR","","Net Metered","Green Mountain Power","","","Peck Electric","2017-06-13","","","","","7.6","","","","","",""
"Solar","Roof-Mounted PV","Residential","177 Fairview Street","177 Fairview Street","","Fairlee","Orange County","Vermont","05045","43.908219","-72.16176","","","16380","","","Net Metered","Green Mountain Power","","","SunCommon","2016-04-22","","","","","7.6","","","","","",""
"Solar","Roof-Mounted PV","Residential","96 Terry Hill Road","96 Terry Hill Road","","Fairlee","Orange County","Vermont","05045","43.90432","-72.15436","","","36622","17-5205","","Net Metered","Green Mountain Power","","","Sunrun Inc","2018-06-01","","","","","10","","","","","",""
"Solar","Roof-Mounted PV","Residential","570 Turnpike Road North","570 Turnpike Road North","","Fairlee","Orange County","Vermont","05045","43.86498333","-72.23416666999999","","","18087","","","Net Metered","Green Mountain Power","","","SunCommon","2016-05-12","","","","","11","","","","","",""
"Solar","Roof-Mounted PV","Residential","87 Mountain Road","87 Mountain Road","","Fairlee","Orange County","Vermont","05045","43.92992","-72.12215999999999","","","19597","","","Net Metered","Green Mountain Power","","","Norwich Technologies","2016-09-12","","","","","11.4","","","","","",""
"Solar","Roof-Mounted PV","Residential","192 Woods Road","192 Woods Road","","Fayston","Washington County","Vermont","05660","44.21473","-72.85289","","","","2530","2013-01-01","Net Metered","Washington Electric Coop","","","SunCommon","2013-01-01","Vermont Small-Scale Renewable Energy Incentive Program","","","","3.1","","","","","",""
"Solar","Roof-Mounted PV","Residential","1065 Center Fayston Road","1065 Center Fayston Road","","Fayston","Washington County","Vermont","05660","44.21517","-72.82066","","","","17-4863","2017-11-06","Net Metered","Washington Electric Coop","","","Sol Sun, LLC","2018-05-24","","","","","3.36","","","","","",""
"Solar","Roof-Mounted PV","Residential","2121 N Fayston Rd","2121 N Fayston Rd","","Fayston","Washington County","Vermont","05660","44.238232","-72.82269100000001","","","","2217","2012-09-08","Net Metered","Washington Electric Coop","","","SunCommon","2012-09-08","","","","","4.3","","","","","",""
"Solar","Roof-Mounted PV","Residential","2485 N Fayston Rd","2485 N Fayston Rd","","Fayston","Washington County","Vermont","05660","44.240522","-72.829609","","","","1353","","Net Metered","Washington Electric Coop","","","Real Goods Solar","2011-02-03","","","","","4.7","","","","","",""
"Solar","Roof-Mounted PV","Residential","174 Ward Hollow","174 Ward Hollow","","Fayston","Washington County","Vermont","05660","44.23420988","-72.84716539","","","","3081","2013-08-04","Net Metered","Washington Electric Coop","","","SunCommon","2013-08-04","","","","","5","","","","","",""
"Solar","Roof-Mounted PV","Residential","1684 Airport Road","1684 Airport Road","","Fayston","Washington County","Vermont","05660","44.235375","-72.819451","","","","3039","2013-07-15","Net Metered","Washington Electric Coop","","","SunCommon","2013-07-15","","","","","5.59","","","","","",""
"Solar","Roof-Mounted PV","Residential","1220 Central Fayston Road","1220 Central Fayston Road","","Fayston","Washington County","Vermont","05660","44.23194124","-72.80042251","","","","18-4122-NMR","2018-12-21","Net Metered","Washington Electric Coop","","","Solar Communities","2019-06-06","","","","","6","","","","","",""
"Solar","Roof-Mounted PV","Residential","1439 Kew Vasseur Rd","1439 Kew Vasseur Rd","","Fayston","Washington County","Vermont","05660","44.219086","-72.848297","","","","1963","2012-06-14","Net Metered","Washington Electric Coop","","","SunCommon","2012-06-14","","","","","6.2","","","","","",""
"Solar","Roof-Mounted PV","Residential","1864 Airport Road","1864 Airport Road","","Fayston","Washington County","Vermont","05660","44.23706","-72.81905","","","","19-1675-NMR","2019-06-20","Net Metered","Washington Electric Coop","","","","2019-09-03","","","","","10.62","","","","","",""
"Solar","Roof-Mounted PV","Residential","972 Sharpshooters Road","972 Sharpshooters Road","","Fayston","Washington County","Vermont","05660","44.2562","-72.85795","","","","18-2474","2018-06-29","Net Metered","Washington Electric Coop","","","SunCommon","2018-01-26","","","","","11.4","","","","","",""
"Solar","Roof-Mounted PV","Residential","414 Deer Run","414 Deer Run","","Fayston","Washington County","Vermont","05660","44.21906","-72.81820999999999","","","","17-3824","2017-08-07","Net Metered","Washington Electric Coop","","","Catamount Solar","2017-10-12","","","","","15","","","","","",""
"Solar","Roof-Mounted PV","Residential","470 Harris Hill","470 Harris Hill","","Fayston","Washington County","Vermont","05673","44.181477","-72.875027","","","3801","#NM-3156","","Net Metered","Green Mountain Power","","","SunCommon","2013-10-30","","","","","3.11","","","","","",""
"Solar","Roof-Mounted PV","Residential","557 STAGECOACH ROAD","557 STAGECOACH ROAD","","Fayston","Washington County","Vermont","05673","44.20534","-72.8706","","","2468","2334","","Net Metered","Green Mountain Power","","","SunCommon","2013-03-14","","","","","3.11","","","","","",""
"Solar","Roof-Mounted PV","Residential","705 Dunbar Hill Road","705 Dunbar Hill Road","","Fayston","Washington County","Vermont","05673","44.24958497","-72.83478364","","","","16-0081","2016-02-09","Net Metered","Washington Electric Coop","","","Richard Rivers","2016-05-11","","","","","3.75","","","","","",""
"Solar","Roof-Mounted PV","Residential","657 Farm Road","657 Farm Road","","Fayston","Washington County","Vermont","05673","44.20233","-72.87559","","","41477","19-0155","2019-01-30","Net Metered","Green Mountain Power","","","Solar Communities","2019-07-24","","","","","3.8","","","","","",""
"Solar","Roof-Mounted PV","Residential","657 Farm Road","657 Farm Road","","Fayston","Washington County","Vermont","05673","44.20233","-72.87559","","","41477","19-0155","2019-01-30","Net Metered","Green Mountain Power","","","Solar Communities","2019-07-24","","","","","3.8","","","","","",""
"Solar","Roof-Mounted PV","Residential","312 Mansfield Road","312 Mansfield Road","","Fayston","Washington County","Vermont","05673","44.19818","-72.88688","","","37164","18-1581","","Net Metered","Green Mountain Power","","","Catamount Solar","2018-08-03","","","","","3.8","","","","","",""
"Solar","Roof-Mounted PV","Residential","252 Mansfield Road","252 Mansfield Road","","Fayston","Washington County","Vermont","05673","44.19747","-72.88715000000001","","","32216","17-3772-NMR","","Net Metered","Green Mountain Power","","","Catamount Solar","2017-09-15","","","","","3.8","","","","","",""
"Solar","Roof-Mounted PV","Residential","153 Shady Tree Lane","153 Shady Tree Lane","","Fayston","Washington County","Vermont","05673","44.183163","-72.888321","","","4169","","","Net Metered","Green Mountain Power","","","Suncommon","2013-11-20","","","","","4.66","","","","","",""
"Solar","Roof-Mounted PV","Residential","87 HOBART LANE","87 HOBART LANE","","Fayston","Washington County","Vermont","05673","44.18785367","-72.85228717","","","4605","","","Net Metered","Green Mountain Power","","","Norwich Technologies","2013-12-16","","","","","4.75","","","","","",""
"Solar","Roof-Mounted PV","Residential","1694 Tucker Hill Road","1694 Tucker Hill Road","","Fayston","Washington County","Vermont","05673","44.164495","-72.87540833","","","11484","","","Net Metered","Green Mountain Power","","","SunCommon","2015-03-10","","","","","5","","","","","",""
"Solar","Roof-Mounted PV","Residential","469 Phen Basin Rd","469 Phen Basin Rd","","Fayston","Washington County","Vermont","05673","44.196762","-72.873868","","","8051","","","Net Metered","Green Mountain Power","","","SunCommon","2014-12-26","","","","","5","","","","","",""
"Solar","Roof-Mounted PV","Residential","798 Farm Road","798 Farm Road","","Fayston","Washington County","Vermont","05673","44.20084112","-72.8750095","","","23540","","","Net Metered","Green Mountain Power","","","Mountain Energy Design","2016-12-29","","","","","6","","","","","",""
"Solar","Roof-Mounted PV","Residential","37 High Country Road","37 High Country Road","","Fayston","Washington County","Vermont","05673","44.20642","-72.85229","","","5077","","","Net Metered","Green Mountain Power","","","Richard Rivers","2014-03-10","","","","","7.7","","","","","",""
"Solar","Roof-Mounted PV","Residential","95 Pleasant Lane","95 Pleasant Lane","","Fayston","Washington County","Vermont","05673","44.19312","-72.88351","","","13038","#NM-6119","","Net Metered","Green Mountain Power","","","Harvestar LLC","2015-10-01","","","","","8.1","","","","","",""
"Solar","Roof-Mounted PV","Residential","502 Mikhal Drive","502 Mikhal Drive","","Fayston","Washington County","Vermont","05673","44.17242833","-72.85402166999999","","","42723","19-1095","2019-05-04","Net Metered","Green Mountain Power","","","Lauren Kolitch","2019-07-02","","","","","10.3","","","","","",""
"Solar","Roof-Mounted PV","Residential","36 Old Quarry Road","36 Old Quarry Road","","Fayston","Washington County","Vermont","05673","44.1685","-72.86579","","","26840","","","Net Metered","Green Mountain Power","","","Mountain Energy Design","2016-12-15","","","","","11.48","","","","","",""
"Solar","Roof-Mounted PV","Residential","823 Stagecoach Road","823 Stagecoach Road","","Fayston","Washington County","Vermont","05674","44.20783","-72.8747","","","41068","18-4118","","Net Metered","Green Mountain Power","","","RGS Energy","2019-02-01","","","","","3.54","","","","","",""
"Solar","Roof-Mounted PV","Residential","364 Harris Hill","364 Harris Hill","","Fayston","Washington County","Vermont","05674","44.18241367","-72.8737935","","","15938","","","Net Metered","Green Mountain Power","","","Same Sun of Vermont","2015-11-09","","","","","3.75","","","","","",""
"Solar","Roof-Mounted PV","Residential","129 Upper Mountain Road","129 Upper Mountain Road","","Fayston","Washington County","Vermont","05674","44.20613","-72.92418000000001","","","37801","18-1782","","Net Metered","Green Mountain Power","","","Catamount Solar","2018-08-29","","","","","3.8","","","","","",""
"Solar","Roof-Mounted PV","Residential","599 Phen Road","599 Phen Road","","Fayston","Washington County","Vermont","05674","44.19933","-72.87617","","","27473","","","Net Metered","Green Mountain Power","","","Solar CIty Corporation","2017-06-30","","","","","7.6","","","","","",""
"Solar","Roof-Mounted PV","Residential","210 Barton Rd","210 Barton Rd","","Fayston","Washington County","Vermont","05676","44.18445","-72.89266000000001","","","1060","568","","Net Metered","Green Mountain Power","","","Solar Works","2009-01-12","","","","","2.79","","","","","",""
"Solar","Roof-Mounted PV","Business","668 Stage Road","668 Stage Road","","Ferrisburgh","Addison County","Vermont","05456","44.25659","-73.24124999999999","","","32308","17-4360","","Net Metered","Green Mountain Power","","","Green Mountain Solar","2017-09-26","","","","","7.25","","","","","",""
"Solar","Roof-Mounted PV","Business","Starry Night Cafe","5371 US-7","","Ferrisburgh","Addison County","Vermont","05456","44.23695","-73.2323","","","14036","","2015-08-01","Net Metered","Green Mountain Power","","","Donald Schroeder","2015-09-01","","","","","8","","","","","",""
"Solar","Roof-Mounted PV","Residential","187 Wing Rd","187 Wing Rd","","Ferrisburgh","Addison County","Vermont","05456","44.19606","-73.2067","","","5610","3714","2014-04-13","Group Net Metered","Green Mountain Power","","","SunCommon","2014-05-02","Vermont Small-Scale Renewable Energy Incentive Program","","","","3.42","","","","","",""
"Solar","Roof-Mounted PV","Residential","2124 Walker Road","2124 Walker Road","","Ferrisburgh","Addison County","Vermont","05456","44.19805","-73.27468","","","22978","","","Net Metered","Green Mountain Power","","","Bristol Electronics","2017-03-08","","","","","3","","","","","",""
"Solar","Roof-Mounted PV","Residential","80 Jersey St.","80 Jersey St.","","Ferrisburgh","Addison County","Vermont","05456","44.18758","-73.3156","","","18947","","","Net Metered","Green Mountain Power","","","Solar City Corporation","2016-05-25","","","","","3","","","","","",""
"Solar","Roof-Mounted PV","Residential","56 Little Chicago Rd","56 Little Chicago Rd","","Ferrisburgh","Addison County","Vermont","05456","44.2066875","-73.24794850000001","","","1948","","","Net Metered","Green Mountain Power","","","DC Energy Innovations","2012-10-01","","","","","3.19","","","","","",""
"Solar","Roof-Mounted PV","Residential","155 Lewis Creek Road","155 Lewis Creek Road","","Ferrisburgh","Addison County","Vermont","05456","44.27650787","-73.18079963","","","3840","","","Net Metered","Green Mountain Power","","","Bristol Electronics","2013-09-12","","","","","3.52","","","","","",""
"Solar","Roof-Mounted PV","Residential","456 Round Barn Road","456 Round Barn Road","","Ferrisburgh","Addison County","Vermont","05456","44.216707","-73.246764","","","30880","17-3238-NMR","","Net Metered","Green Mountain Power","","","Solar City Corporation","2017-08-18","","","","","3.6","","","","","",""
"Solar","Roof-Mounted PV","Residential","1200 Wind Road","1200 Wind Road","","Ferrisburgh","Addison County","Vermont","05456","44.20644","-73.19544999999999","","","44472","19-1569","2019-06-11","Net Metered","Green Mountain Power","","","Sunrun Installation Services, Inc.","2019-07-05","","","","","3.8","","","","","",""
"Solar","Roof-Mounted PV","Residential","575 Middlebrook Road","575 Middlebrook Road","","Ferrisburgh","Addison County","Vermont","05456","44.20626167","-73.23491167","","","35309","18-0512","","Net Metered","Green Mountain Power","","","Solar Communities","2018-03-21","","","","","3.8","","","","","",""
"Solar","Roof-Mounted PV","Residential","2983 Little Chicago Road","2983 Little Chicago Road","","Ferrisburgh","Addison County","Vermont","05456","44.20541","-73.30022","","","31512","17-3602-NMR","","Net Metered","Green Mountain Power","","","Solar City Corporation","2017-09-22","","","","","3.8","","","","","",""
"Solar","Roof-Mounted PV","Residential","1093 Basin Harbor Road","1093 Basin Harbor Road","","Ferrisburgh","Addison County","Vermont","05456","44.17378533","-73.30493583000001","","","24784","","","Net Metered","Green Mountain Power","","","SunCommon","2017-06-13","","","","","3.8","","","","","",""
"Solar","Roof-Mounted PV","Residential","151 Hawkins Road","151 Hawkins Road","","Ferrisburgh","Addison County","Vermont","05456","44.20233","-73.26215000000001","","","26067","","","Net Metered","Green Mountain Power","","","suncommon","2017-05-17","","","","","3.8","","","","","",""
"Solar","Roof-Mounted PV","Residential","1111 Sand Road","1111 Sand Road","","Ferrisburgh","Addison County","Vermont","05456","44.17424567","-73.291072","","","22272","","","Net Metered","Green Mountain Power","","","SunCommon","2016-11-01","","","","","3.8","","","","","",""
"Solar","Roof-Mounted PV","Residential","127 Atkins Farm Road","127 Atkins Farm Road","","Ferrisburgh","Addison County","Vermont","05456","44.20835","-73.24657000000001","","","21556","","","Net Metered","Green Mountain Power","","","SunCommon","2016-09-23","","","","","3.8","","","","","",""
"Solar","Roof-Mounted PV","Residential","2075 VT ROUTE 7","2075 VT ROUTE 7","","Ferrisburgh","Addison County","Vermont","05456","44.19077","-73.24769999999999","","","12414","5955","2015-04-04","Net Metered","Green Mountain Power","","","SunCommon","2015-07-09","","","","","3.8","","","","","",""
"Solar","Roof-Mounted PV","Residential","1053 Little Chicago Road","1053 Little Chicago Road","","Ferrisburgh","Addison County","Vermont","05456","44.19985","-73.26432","","","2347","","","Net Metered","Green Mountain Power","","","Bristol Electronics","2012-10-16","","","","","3.8","","","","","",""
"Solar","Roof-Mounted PV","Residential","505 Walker Road","505 Walker Road","","Ferrisburgh","Addison County","Vermont","05456","44.17750083","-73.28137117","","","18268","","","Net Metered","Green Mountain Power","","","Bristol Electronics","2016-05-18","","","","","4","","","","","",""
"Solar","Roof-Mounted PV","Residential","423 Little Chicago Rd.","423 Little Chicago Rd.","","Ferrisburgh","Addison County","Vermont","05456","44.20129984","-73.25501951","","","5789","","","Net Metered","Green Mountain Power","","","SunCommon","2014-05-13","","","","","4","","","","","",""
"Solar","Roof-Mounted PV","Residential","189 FOUR WINDS","189 FOUR WINDS","","Ferrisburgh","Addison County","Vermont","05456","44.24502","-73.2136","","","5676","3745","2014-04-20","Net Metered","Green Mountain Power","","","Bristol Electronics","2014-06-06","","","","","4.18","","","","","",""
"Solar","Roof-Mounted PV","Residential","1074 Satterly Road","1074 Satterly Road","","Ferrisburgh","Addison County","Vermont","05456","44.1999","-73.23390000000001","","","18383","","","Net Metered","Green Mountain Power","","","Solar City Corporation","2016-05-03","","","","","4.2","","","","","",""
"Solar","Roof-Mounted PV","Residential","3415 Middlebrook Rd","3415 Middlebrook Rd","","Ferrisburgh","Addison County","Vermont","05456","44.17668","-73.214","","","3048","2624","2013-02-23","Net Metered","Green Mountain Power","","","SunCommon","2013-08-04","","","","","4.35","","","","","",""
"Solar","Roof-Mounted PV","Residential","280 Hawkins Bay Lane","280 Hawkins Bay Lane","","Ferrisburgh","Addison County","Vermont","05456","44.2417215","-73.28358","","","31420","17-4431","","Net Metered","Green Mountain Power","","","Bristol Electronics","2017-10-12","","","","","4.75","","","","","",""
"Solar","Roof-Mounted PV","Residential","1957 Shellhouse Mtn Road","1957 Shellhouse Mtn Road","","Ferrisburgh","Addison County","Vermont","05456","44.21875","-73.20977999999999","","","36258","18-1110","","Net Metered","Green Mountain Power","","","Sunrun, Inc.","2019-05-30","","","","","5","","","","","",""
"Solar","Roof-Mounted PV","Residential","861 Monkton Road","861 Monkton Road","","Ferrisburgh","Addison County","Vermont","05456","44.17420767","-73.2245345","","","21001","","","Net Metered","Green Mountain Power","","","SunCommon","2016-08-04","","","","","5","","","","","",""
"Solar","Roof-Mounted PV","Residential","1833 Shellhouse Mountain Road","1833 Shellhouse Mountain Road","","Ferrisburgh","Addison County","Vermont","05456","44.21691","-73.20769","","","12968","","","Net Metered","Green Mountain Power","","","Building Energy","2015-10-01","","","","","5","","","","","",""
"Solar","Roof-Mounted PV","Residential","323 Reubens Way","323 Reubens Way","","Ferrisburgh","Addison County","Vermont","05456","44.16977","-73.35334","","","14021","","","Net Metered","Green Mountain Power","","","SunCommon","2015-09-01","","","","","5","","","","","",""
"Solar","Roof-Mounted PV","Residential","204 Walker Rd","204 Walker Rd","","Ferrisburgh","Addison County","Vermont","05456","44.17210317","-73.278902","","","12049","","","Net Metered","Green Mountain Power","","","SunCommon","2015-04-16","","","","","5","","","","","",""
"Solar","Roof-Mounted PV","Residential","68 Field Rd","68 Field Rd","","Ferrisburgh","Addison County","Vermont","05456","44.19642","-73.19944","","","7931","","","Net Metered","Green Mountain Power","","","SunCommon","2014-11-12","","","","","5","","","","","",""
"Solar","Roof-Mounted PV","Residential","1836 Shellhouse Mtn. Rd.","1836 Shellhouse Mtn. Rd.","","Ferrisburgh","Addison County","Vermont","05456","44.21744","-73.20587","","","3120","","","Net Metered","Green Mountain Power","","","SunCommon","2013-08-04","","","","","5.59","","","","","",""
"Solar","Roof-Mounted PV","Residential","3838 Sand Rd.","3838 Sand Rd.","","Ferrisburgh","Addison County","Vermont","05456","44.20782","-73.30970000000001","","","5444","","","Net Metered","Green Mountain Power","","","SunCommon","2014-04-07","","","","","5.7","","","","","",""
"Solar","Roof-Mounted PV","Residential","454 Echo Road","454 Echo Road","","Ferrisburgh","Addison County","Vermont","05456","44.22181","-73.19047","","","36831","18-1440","","Net Metered","Green Mountain Power","","","SWJ Electric","2018-08-27","","","","","6","","","","","",""
"Solar","Roof-Mounted PV","Residential","313 South Middlebrook Road","313 South Middlebrook Road","","Ferrisburgh","Addison County","Vermont","05456","44.17017","-73.21247","","","21246","","","Net Metered","Green Mountain Power","","","SunCommon","2016-09-16","","","","","6","","","","","",""
"Solar","Roof-Mounted PV","Residential","1471 Fort Cassin  Road","1471 Fort Cassin  Road","","Ferrisburgh","Addison County","Vermont","05456","44.22832","-73.32247","","","1643","#NM-1851","","Net Metered","Green Mountain Power","","","Vermont Solar LLC","2012-08-28","","","","","6.38","","","","","",""
"Solar","Roof-Mounted PV","Residential","2082 Route 7","2082 Route 7","","Ferrisburgh","Addison County","Vermont","05456","44.19164983","-73.2470785","","","12745","","","Net Metered","Green Mountain Power","","","Bristol Electronics","2015-04-21","","","","","6.88","","","","","",""
"Solar","Roof-Mounted PV","Residential","1391 Robinson Road","1391 Robinson Road","","Ferrisburgh","Addison County","Vermont","05456","44.2363065","-73.2208365","","","19950","","","Net Metered","Green Mountain Power","","","SunCommon","2016-08-09","","","","","7","","","","","",""
"Solar","Roof-Mounted PV","Residential","4215 Sand Rd","4215 Sand Rd","","Ferrisburgh","Addison County","Vermont","05456","44.21297217","-73.30807133","","","8412","","","Net Metered","Green Mountain Power","","","SunCommon","2015-02-03","","","","","7","","","","","",""
"Solar","Roof-Mounted PV","Residential","143 Middlebrook Rd","143 Middlebrook Rd","","Ferrisburgh","Addison County","Vermont","05456","44.20583167","-73.24346567000001","","","13997","","","Net Metered","Green Mountain Power","","","SunCommon","2015-10-06","","","","","7.5","","","","","",""
"Solar","Roof-Mounted PV","Residential","314 Old Hollow Road","314 Old Hollow Road","","Ferrisburgh","Addison County","Vermont","05456","44.25843","-73.22198","","","39982","18-3270","","Net Metered","Green Mountain Power","","","Sunrun Inc","2019-01-11","","","","","7.6","","","","","",""
"Solar","Roof-Mounted PV","Residential","1259 Shellhouse Mountain Road","1259 Shellhouse Mountain Road","","Ferrisburgh","Addison County","Vermont","05456","44.21004","-73.20829500000001","","","39962","18-3235","","Net Metered","Green Mountain Power","","","Solar Communities","2018-12-17","","","","","7.6","","","","","",""
"Solar","Roof-Mounted PV","Residential","1301 Robinson Road","1301 Robinson Road","","Ferrisburgh","Addison County","Vermont","05456","44.23500933","-73.22185483","","","32818","17-4337","","Net Metered","Green Mountain Power","","","Building Energy","2017-12-20","","","","","7.6","","","","","",""
"Solar","Roof-Mounted PV","Residential","957 Robinson Road","957 Robinson Road","","Ferrisburgh","Addison County","Vermont","05456","44.23047833","-73.224755","","","24678","","","Net Metered","Green Mountain Power","","","Suncommon","2017-01-20","","","","","7.6","","","","","",""
"Solar","Roof-Mounted PV","Residential","50 Dakin Road","50 Dakin Road","","Ferrisburgh","Addison County","Vermont","05456","44.24016","-73.22913667","","","21560","","","Net Metered","Green Mountain Power","","","SunCommon","2016-11-01","","","","","7.6","","","","","",""
"Solar","Roof-Mounted PV","Residential","83 Champlin Hill Rd","83 Champlin Hill Rd","","Ferrisburgh","Addison County","Vermont","05456","44.26048","-73.21468","","","19678","","","Net Metered","Green Mountain Power","","","Solar City Corporation","2016-07-20","","","","","7.6","","","","","",""
"Solar","Roof-Mounted PV","Residential","149 Piney Woods Road","149 Piney Woods Road","","Ferrisburgh","Addison County","Vermont","05456","44.25982","-73.24644000000001","","","18039","","","Net Metered","Green Mountain Power","","","Ben Lessard","2016-05-10","","","","","7.6","","","","","",""
"Solar","Roof-Mounted PV","Residential","1004 Botsford Road","1004 Botsford Road","","Ferrisburgh","Addison County","Vermont","05456","44.19317","-73.25734","","","27255","","","Net Metered","Green Mountain Power","","","Bristol Electronics","2016-12-30","","","","","8.75","","","","","",""
"Solar","Roof-Mounted PV","Residential","754 Four Winds Road","754 Four Winds Road","","Ferrisburgh","Addison County","Vermont","05456","44.25315888","-73.21191266","","","24057","","","Net Metered","Green Mountain Power","","","SunCommon","2016-11-30","","","","","9.800000000000001","","","","","",""
"Solar","Roof-Mounted PV","Residential","111 Quaker Street","111 Quaker Street","","Ferrisburgh","Addison County","Vermont","05456","44.24299","-73.23099999999999","","","24780","","","Net Metered","Green Mountain Power","","","SunCommon","2016-12-30","","","","","10","","","","","",""
"Solar","Roof-Mounted PV","Residential","4832 Route 7","4832 Route 7","","Ferrisburgh","Addison County","Vermont","05456","44.22929","-73.23347","","","16680","","","Net Metered","Green Mountain Power","","","Bristol Electronics","2016-03-15","","","","","10","","","","","",""
"Solar","Roof-Mounted PV","Residential","288 Sand Rd","288 Sand Rd","","Ferrisburgh","Addison County","Vermont","05456","44.17057","-73.27807","","","551","","","Net Metered","Green Mountain Power","","","Vermont Green Energy Systems","2014-09-23","","","","","10","","","","","",""
"Solar","Roof-Mounted PV","Residential","3177 Hawkins Rd","3177 Hawkins Rd","","Ferrisburgh","Addison County","Vermont","05456","44.23481","-73.29297","","","3216","#NM-2746","","Net Metered","Green Mountain Power","","","SunCommon","2013-08-05","","","","","13.98","","","","","",""
"Solar","Roof-Mounted PV","Residential","427 POND LANE","427 POND LANE","","Ferrisburgh","Addison County","Vermont","05473","44.24874","-73.14100000000001","","","11226","5613","","Net Metered","Green Mountain Power","","","SunCommon","2015-03-12","","","","","3","","","","","",""
"Solar","Roof-Mounted PV","Residential","105 Pond Ln","105 Pond Ln","","Ferrisburgh","Addison County","Vermont","05473","44.22578","-73.1923","","","2700","2448","","Net Metered","Green Mountain Power","","","SunCommon","2013-04-05","","","","","3.11","","","","","",""
"Solar","Roof-Mounted PV","Residential","2074 Monkton Rd.","2074 Monkton Rd.","","Ferrisburgh","Addison County","Vermont","05473","44.23195333","-73.15149167","","","3025","","","Net Metered","Green Mountain Power","","","SunCommon","2013-08-05","","","","","3.73","","","","","",""
"Solar","Roof-Mounted PV","Residential","116 Morgan Road","116 Morgan Road","","Ferrisburgh","Addison County","Vermont","05473","44.26213","-73.18738999999999","","","4184","","","Net Metered","Green Mountain Power","","","Bristol Electronics","2013-10-28","","","","","3.78","","","","","",""
"Solar","Roof-Mounted PV","Residential","968 Fuller Mtn Rd","968 Fuller Mtn Rd","","Ferrisburgh","Addison County","Vermont","05473","44.22666","-73.1944","","","12652","6031","2015-04-21","Net Metered","Green Mountain Power","","","SunCommon","2015-05-20","","","","","3.8","","","","","",""
"Solar","Roof-Mounted PV","Residential","986 Rotax Road","986 Rotax Road","","Ferrisburgh","Addison County","Vermont","05473","44.26483967","-73.14112217","","","37151","18-1567","","Net Metered","Green Mountain Power","","","Bristol Electronics","2018-12-03","","","","","4.5","","","","","",""
"Solar","Roof-Mounted PV","Residential","741 Hand Rd","741 Hand Rd","","Ferrisburgh","Addison County","Vermont","05473","44.25314","-73.19503","","","14027","","","Net Metered","Green Mountain Power","","","SunCommon","2015-09-02","","","","","5","","","","","",""
"Solar","Roof-Mounted PV","Residential","647 Stage Road","647 Stage Road","","Ferrisburgh","Addison County","Vermont","05473","44.25643","-73.24073","","","3184","","","Net Metered","Green Mountain Power","","","Bristol Electronics","2013-05-14","","","","","5.04","","","","","",""
"Solar","Roof-Mounted PV","Residential","108 Braeside Pl","108 Braeside Pl","","Ferrisburgh","Addison County","Vermont","05473","44.2646","-73.21541000000001","","","7398","","","Net Metered","Green Mountain Power","","","Green Mountain Renewable Energy","2014-12-03","","","","","5.59","","","","","",""
"Solar","Roof-Mounted PV","Residential","183 Evergreen Lane","183 Evergreen Lane","","Ferrisburgh","Addison County","Vermont","05473","44.24028","-73.23659000000001","","","35840","18-0821","","Net Metered","Green Mountain Power","","","SunCatcher LLC","2018-05-15","","","","","6","","","","","",""
"Solar","Roof-Mounted PV","Residential","55 Braeside Place","55 Braeside Place","","Ferrisburgh","Addison County","Vermont","05473","44.26329","-73.21680000000001","","","22252","","","Net Metered","Green Mountain Power","","","SunCommon","2016-09-13","","","","","6","","","","","",""
"Solar","Roof-Mounted PV","Residential","105 Mountain View Road","105 Mountain View Road","","Ferrisburgh","Addison County","Vermont","05473","44.25929","-73.25537","","","14365","","","Net Metered","Green Mountain Power","","","SunCommon","2015-09-23","","","","","6","","","","","",""
"Solar","Roof-Mounted PV","Residential","271 High Meadow Road","271 High Meadow Road","","Ferrisburgh","Addison County","Vermont","05473","44.25235917","-73.20117682999999","","","11474","","","Net Metered","Green Mountain Power","","","SunCommon","2015-03-19","","","","","6","","","","","",""
